county,precinct,office,district,party,candidate,votes
Johnson,Park 2-21,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,17
Johnson,Park 2-22,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,343
Johnson,Park 2-22,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,31
Johnson,Park 2-23,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,292
Johnson,Park 2-23,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,26
Johnson,Park 2-24,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,599
Johnson,Park 2-24,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,56
Johnson,Park 2-25,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,427
Johnson,Park 2-25,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,41
Johnson,Park 2-26,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,165
Johnson,Park 2-26,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,22
Johnson,Park 3-01,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,469
Johnson,Park 3-01,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,43
Johnson,Park 3-02,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,326
Johnson,Park 3-02,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,34
Johnson,Park 3-03,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,286
Johnson,Park 3-03,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,22
Johnson,Park 3-04,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,433
Johnson,Park 3-04,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,32
Johnson,Park 3-05,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,399
Johnson,Park 3-05,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,47
Johnson,Park 3-06,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,437
Johnson,Park 3-06,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,39
Johnson,Park 3-07,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,351
Johnson,Park 3-07,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,45
Johnson,Park 3-08,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,292
Johnson,Park 3-08,PRESIDENT/VP,"",Libertarian,JOHNSON AND WELD,30
Johnson,Park 3-09,PRESIDENT/VP,"",Democrat,CLINTON AND KAINE,468
